"","X","labnr","bp","std","site","lat","lng","db_source"
"36173",39151,"B-4116",3950,60,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36174",39152,"B-4118",4800,40,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36175",39153,"Lv-615",4400,100,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36176",39154,"Lv-622",4380,100,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36177",39155,"Lv-624",6850,110,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36178",39156,"Lv-626",4190,100,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36179",39157,"B-2726",5270,70,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36180",39158,"B-4472",5390,100,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36181",39159,"ETH-131",5420,80,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36182",39160,"VRI-28",5620,130,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36183",39161,"ETH-132",4500,400,"Egolzwil 4",47.18,8.01,"XRONOS"
"36184",39162,"KN-1021",5080,70,"Egolzwil 4",47.18,8.01,"XRONOS"
"36185",39163,"KN-21",5370,160,"Egolzwil 4",47.18,8.01,"XRONOS"
"36186",39164,"VRI-29",5360,150,"Egolzwil 4",47.18,8.01,"XRONOS"
"36187",39165,"B-2727",4850,110,"Egolzwil 5",47.1852,8.0067,"XRONOS"
"36188",39166,"B-2728",5020,100,"Egolzwil 5",47.1852,8.0067,"XRONOS"
"36189",39167,"ETH-133",4980,80,"Egolzwil 5",47.1852,8.0067,"XRONOS"
"36190",39168,"B-4774",5450,60,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36191",39169,"B-4775",5420,60,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36193",39171,"GL-18",4650,110,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36194",39172,"K-115",4700,150,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36195",39173,"K-116",5280,280,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36196",39174,"K-118",4980,140,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36197",39175,"K-119",5770,170,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36198",39176,"K-120",6500,170,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36199",39177,"K-121",4920,130,"Egolzwil 3",47.1841,8.0032,"XRONOS"
"36200",39178,"H-227/227",5122,100,"Egolzwil 4",47.18,8.01,"XRONOS"
"36201",39179,"H-228/276",5150,100,"Egolzwil 4",47.18,8.01,"XRONOS"
"36202",39180,"H-229/277",5000,100,"Egolzwil 4",47.18,8.01,"XRONOS"
"36203",39181,"UZ-2988",4020,65,"Eschenbach",47.2407,8.9221,"XRONOS"
"36205",39184,"UCLA-1823",4370,60,"Fällanden",47.3717,8.6387,"XRONOS"
"36206",39185,"UCLA-1809A",5170,70,"Feldbach",47.2395,8.7869,"XRONOS"
"36207",39186,"UCLA-1809B",4450,60,"Feldbach",47.2395,8.7869,"XRONOS"
"36208",39187,"UCLA-1691B",4500,65,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36209",39188,"UCLA-1691C",4450,65,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36210",39189,"UCLA-1691D",4250,65,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36211",39190,"UCLA-1691E",4450,65,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36212",39191,"UCLA-1691F",5415,60,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36213",39192,"UCLA-1691G",5200,70,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36214",39193,"UCLA-1691H",4940,70,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36215",39194,"UCLA-1766B",4320,65,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36216",39195,"UCLA-1766A",5100,70,"Feldmeilen-Vorderfeld",47.2759,8.621,"XRONOS"
"36217",39196,"GrN-7020",4200,40,"Freienbach",47.2053,8.7584,"XRONOS"
"36218",39197,"UCLA-1831",4140,60,"Freienbach",47.2053,8.7584,"XRONOS"
"36223",39202,"UCLA-1824",5180,70,"Greifensee-Storen",47.2833,8.6333,"XRONOS"
"36224",39203,"UCLA-1825",5100,70,"Greifensee-Storen",47.2833,8.6333,"XRONOS"
"36225",39204,"GrN-6906",3430,35,"Hochdorf-Baldegg",47.1822,8.2822,"XRONOS"
