,ID_site,ID_external,state,federal_state,community,cadastral_section,site_type_1,site_type_2,dat_type,chrono_very_rough,chrono_rough,chrono_complex,LV03_Hochwert_fuzzy,LV03_Rechtswert_fuzzy
4104,4366,,CH,Fribourg,Dompierre,En l'Hôpital,single find,stray findings (>1),typological,bronze age,LBA,,189931,567308
4105,4367,,CH,Fribourg,Echarlens,Forêt d'Everdes,single find,stray findings (>1),typological,bronze age,LBA,,167850,574235
4106,4368,,CH,Fribourg,Echarlens,Entre Echarlens et Morlon,single find,single find,typological,bronze age,,,167162,572306
4107,4369,,CH,Fribourg,Ecublens,Granpuy [unleserlich],single find,single find,typological,bronze age,,,163367,552483
4108,4370,,CH,Fribourg,Enney,Mont-Afflon,depot,depot (>1),typological,bronze age,,,157985,573573
4109,4371,,CH,Fribourg,Ecuvillens,Le Viex Château,single find,stray findings (>1),typological,neolithic,,,180502,573038
4110,4372,,CH,Fribourg,Ecuvillens,Essert d'Amont,single find,single find,typological,prehistoric,,,178202,572435
4111,4373,,CH,Fribourg,Fétigny,Plan d'Amont,single find,stray findings (>1),typological,bronze age,,,184465,560399
4112,4374,,CH,Fribourg,Fétigny,La Paettaz (Sus Sémoret),settlement,settlement mineral soil,typological,bronze age,LBA,HaA|B,183517,560899
4113,4375,,CH,Fribourg,Givisiez,Fin de Chandolan,single find,single find,typological,prehistoric,,,184661,576702
4114,4376,,CH,Fribourg,Granges-Paccot,Grandfey-Champ du Camp,single find,single find STONE AXE,typological,neolithic,,,185927,579696
4115,4377,,CH,Fribourg,Grumels,Muttergotteskirche Dürrenberg,single find,single find,typological,neolithic,,,194347,580988
4116,4378,,CH,Fribourg,Gumefens,L'Etrey,single find,stray findings (>1),typological,bronze age,,,170026,573532
4117,4379,,CH,Fribourg,Gruyères,La route de Bouleyres,single find,single find,typological,bronze age,,,159976,572744
4118,4380,,CH,Fribourg,Gruyères,Les Adoux,settlement,settlement mineral soil,typological,bronze age,LBA,HaA|B,160692,573432
4119,4381,,CH,Fribourg,Hauteville,Aux Communs d'Avaux,single find,single find,typological,prehistoric,,,171357,575612
4120,4382,2296,CH,Fribourg,Heitenried,Ehemalige Kirche St. Michael,ritual place,menhir single,NA,prehistoric,,,186545,590248
4121,4383,,CH,Fribourg,Heitenried,undef.,single find,single find STONE AXE,typological,neolithic,,,186877,590414
4122,4384,,CH,Fribourg,Les Friques,Les Tavalles,single find,single find STONE AXE,typological,neolithic,,,196039,565928
4123,4385,,CH,Fribourg,Bulle,Chemin de Champ-Francey,settlement,settlement mineral soil,typological,bronze age,,,164696,571440
4124,4386,,CH,Fribourg,Bussy,En Riondet,single find,stray findings (>1),typological,prehistoric,,,188022,558559
4125,4387,,CH,Fribourg,Bulle,Les Planches,single find,stray findings (>1),typological,bronze age,LBA,,188553,559086
4126,4388,,CH,Fribourg,Châbles,Point du Pilard,settlement,settlement lakeshore,typological,neolithic,,,188057,552478
4127,4389,,CH,Fribourg,Cheyres,La Rita du Lac,settlement,settlement mineral soil,typological,bronze age,LBA,,185890,550418
4128,4390,,CH,Fribourg,Cheyres,Route d'Yverdon,settlement,settlement mineral soil,typological,bronze age,,,185728,550531
4129,4391,,CH,Fribourg,Courgevaux,En Boulatey,single find,single find,typological,neolithic,,,195578,575799
4130,4392,,CH,Fribourg,Courgevaux,Champ de la Glacière,single find,stray findings (>1),typological,bronze age,,,195964,575471
4131,4393,,CH,Fribourg,Courgevaux,undef.,single find,single find,typological,bronze age,LBA,,195990,575678
4132,4394,,CH,Fribourg,Düdingen,Garten der Bankgesellschaft,single find,single find,typological,neolithic,,,189350,581746
4133,4395,,CH,Fribourg,Düdingen,St. Wolfgangswald,single find,single find STONE AXE,typological,neolithic,,,186766,581206
4134,4396,,CH,Fribourg,Düdingen,Wittenbach,single find,single find STONE AXE,typological,neolithic,,,188515,577722
4135,4397,,CH,Fribourg,Düdingen,Einschlag,single find,single find STONE AXE,typological,neolithic,,,188580,580787
4136,4398,,CH,Fribourg,Düdingen,Hauefin,single find,single find,typological,bronze age,,,189703,581895
4137,4399,,CH,Fribourg,Düdingen,Einschlag,single find,stray findings (>1),typological,bronze age,LBA,,188837,580700
4138,4400,,CH,Fribourg,Düdingen,Zelg,single find,stray findings (>1),typological,bronze age,,,189207,580192
4139,4401,,CH,Fribourg,Font,undef.,single find,single find,typological,neolithic,,,188275,553782
4140,4402,,CH,Fribourg,Font,Pierre du Mariage,ritual place,menhir alignment (>1),NA,prehistoric,,,188537,553747
4141,4403,,CH,Fribourg,Forel,Forel II,settlement,settlement lakeshore,typological,bronze age,,,191693,558689
4142,4404,,CH,Fribourg,Fräschels,Grosses Moos,single find,stray findings (>1),typological,prehistoric,,,205860,582606
4143,4405,,CH,Fribourg,Fräschels,Obermoss,single find,single find STONE AXE,typological,neolithic,,,206091,582609
4144,4406,,CH,Fribourg,Fräschels,undef.,single find,stray findings (>1),typological,bronze age,,,206003,583474
4145,4407,,CH,Fribourg,Fraschels,Scheuermatten,single find,single find,typological,bronze age,LBA,HaB,205006,581633
4146,4408,,CH,Fribourg,Frasses,undef.,single find,single find STONE AXE,typological,neolithic,,,187010,556985
4147,4409,,CH,Fribourg,Fribourg,Le bois de Pérolle,single find,single find STONE AXE,typological,neolithic,,,183055,578928
4148,4410,,CH,Fribourg,Fribourg,À la Maigrauge,single find,single find STONE AXE,typological,neolithic,,,183268,579522
4149,4411,,CH,Fribourg,Fribourg,Rue de Court-Chemin 19,ritual place,menhir single,NA,prehistoric,,,184752,578390
4150,4412,,CH,Fribourg,Galmiz,Tuschmatt,single find,stray findings (>1),typological,neolithic,,,199389,578899
4151,4412,,CH,Fribourg,Galmiz,Tuschmatt,single find,stray findings (>1),typological,bronze age,MBA,,199576,578609
4152,4413,,CH,Fribourg,Galmiz,Chapelenfeld,single find,single find,typological,bronze age,LBA,,199837,578255
4153,4414,,CH,Fribourg,Galmiz,undef.,single find,single find,typological,bronze age,LBA,HaB,200099,579041
4154,4415,,CH,Fribourg,Galmiz,Riedli,burial place,grave single,typological,bronze age,,,199462,579483
4155,4416,,CH,Fribourg,Galmiz,Prévondavaux,single find,stray findings (>1),typological,bronze age,,,199303,579604
4156,4417,,CH,Fribourg,Gletterens,Au Stand,single find,stray findings (>1),typological,bronze age,,,195077,561194
4157,4418,,CH,Fribourg,Greng,Au Village,settlement,settlement mineral soil,typological,bronze age,,,196973,574295
4158,4419,,CH,Fribourg,Haut-Vully,undef.,single find,single find,typological,bronze age,,,200698,573464
4159,4420,,CH,Fribourg,Haut-Vully,Chalonge,single find,single find STONE AXE,typological,neolithic,,,202686,572555
4160,4421,,CH,Fribourg,Haut-Vully,Tumériau/Les Esserts,single find,stray findings (>1),typological,bronze age,,,201020,571709
4161,4422,,CH,Fribourg,Estavayer-le-Lac,Sous la Rosiere,single find,single find STONE AXE,typological,neolithic,,,188861,554537
4162,4423,,CH,Fribourg,Estavayer-le-Lac,Rochette 28,single find,single find STONE AXE,typological,neolithic,,,189234,555460
4163,4424,,CH,Fribourg,Estavayer-le-Lac,undef.,single find,single find STONE AXE,typological,neolithic,,,189329,555340
4164,4425,,CH,Fribourg,Estavayer-le-Lac,Au Piollier,single find,stray findings (>1),typological,bronze age,LBA,,188571,555315
4165,4426,,CH,Fribourg,Estavayer-le-Lac,undef.,burial place,grave single,typological,bronze age,,,188850,555648
4166,4427,315.002. \ 11008,CH,Bern,Ipsach,Räberain /Oberdörfli,single find,stray findings (>1),typological,neolithic,,,217902,585126
4167,4428,477.001. \ 11310,CH,Bern,Niederbipp,Oensingen; Lehnfluh und Erlinsburgen,single find,stray findings (>1),typological,prehistoric,,,237444,620038
4168,4429,,CH,Solothurn,Hersiwil,Rainacker,single find,stray findings (>1),typological,neolithic,,,224414,614440
4169,4430,2015,CH,Fribourg,Estavayer-le-Lac,La Croix de Pierre,single find,stray findings (>1),typological,prehistoric,,,188835,555664
4170,4431,104/24 \,CH,Solothurn,Olten,Born-Enge (Kleinholz),single find,stray findings (>1),typological,neolithic,,,244013,635369
4171,4432,121/305.3 \,CH,Vaud,Onnens,Praz Berthoud I,single find,stray findings (>1),typological,neolithic,,,189048,542546
4172,4433,,CH,Fribourg,Ried bei Kerzers,Hölle,single find,single find STONE AXE,typological,neolithic,,,201611,580079
4173,4434,,CH,Luzern,Sursee,Hostetterfeld,single find,stray findings (>1),typological,neolithic,,,225599,651975
4174,4435,,CH,Bern,Sutz-Lattrigen,Seerain,single find,stray findings (>1),typological,neolithic,,,216849,583407
4175,4436,140.002. \ 11181/11185,CH,Bern,Tschugg,Steiacher,single find,single find STONE AXE,typological,neolithic,,,208508,573496
4176,4437,,CH,Fribourg,Morat/Murten,Löwenberg,single find,single find,typological,neolithic,,,199087,578156
4177,4438,6/1 \,CH,Solothurn,Balm b. Günsberg,Auf der Balmflue,single find,stray findings (>1),typological,neolithic,,,234049,609651
4178,4439,,CH,Solothurn,Recherswil,Grod; Jäggenenwald,single find,stray findings (>1),typological,neolithic,,,223618,614226
4179,4440,61(A)3,CH,Aargau,Widen,Höckleri,single find,stray findings (>1),typological,prehistoric,,,247562,669668
4180,4441,134(A)1,CH,Aargau,Wittnau,Horn,single find,stray findings (>1),typological,neolithic,,,260087,640247
4181,4442,189(A)12,CH,Aargau,Zeiningen,Uf Wigg,single find,stray findings (>1),typological,neolithic,,,267047,633817
4182,4443,2491,CH,Luzern,Alberswil,Allmend,single find,single find,typological,prehistoric,,,225430,643058
4183,4444,2066,CH,Luzern,Dagmersellen,Buchs Erliacher,single find,stray findings (>1),typological,prehistoric,,,225333,643107
4184,4445,1848,CH,Luzern,Dagmersellen,Wigerematte,single find,single find,typological,prehistoric,,,225131,648578
4185,4446,2052,CH,Luzern,Egolzwil,Baschimatt,single find,stray findings (>1),typological,prehistoric,,,228187,646432
4186,4447,2127,CH,Luzern,Egolzwil,Strafanstalt Station 2,single find,stray findings (>1),typological,neolithic,,,224944,643603
4187,4448,1173,CH,Luzern,Ermensee,Altgass,single find,stray findings (>1),typological,prehistoric,,,231062,661021
4188,4449,2434,CH,Luzern,Ettiswil,Amberg Hubel,single find,stray findings (>1),typological,prehistoric,,,225828,647853
4189,4450,2268,CH,Luzern,Ettiswil,Bielti,single find,stray findings (>1),typological,neolithic,,,224750,645843
4190,4451,2450,CH,Luzern,Ettiswil,Ettiswilermoos,single find,single find,typological,prehistoric,,,223877,642055
4191,4452,2219,CH,Luzern,Ettiswil,Feldmatt (L2.32),single find,stray findings (>1),typological,prehistoric,,,225937,645505
4192,4453,2201,CH,Luzern,Ettiswil,Feldmatt B / Feldmatt 2 (L2.133 und L3.16),single find,stray findings (>1),typological,prehistoric,,,223690,646000
4193,4454,2280,CH,Luzern,Ettiswil,Feldmatt Station 200,single find,stray findings (>1),typological,neolithic,,,224791,647440
4194,4455,1195,CH,Luzern,Ettiswil,Hagimoos (L3.11),single find,stray findings (>1),typological,prehistoric,,,224779,647125
4195,4456,2208,CH,Luzern,Ettiswil,Haslimatt (L2.144),single find,stray findings (>1),typological,prehistoric,,,224536,644348
4196,4457,2211,CH,Luzern,Ettiswil,Hostris C (L2.62),single find,stray findings (>1),typological,prehistoric,,,224104,644904
4197,4458,2212,CH,Luzern,Ettiswil,Hostris D (L2.63 auch L3.8),single find,stray findings (>1),typological,neolithic,,,223665,645343
4198,4459,2243,CH,Luzern,Ettiswil,Hostris Station 8,single find,stray findings (>1),typological,neolithic,,,224909,645417
4199,4460,2257,CH,Luzern,Ettiswil,Houenbüel 2 (L2.109),single find,stray findings (>1),typological,neolithic,,,225650,647458
4200,4461,2248,CH,Luzern,Ettiswil,Houenbüel Station 13,single find,stray findings (>1),typological,neolithic,,,225103,646226
4201,4462,2216,CH,Luzern,Ettiswil,Hubel (L2.139),single find,stray findings (>1),typological,neolithic,,,224379,646072
4202,4463,1203; 2260; 2261; 2262,CH,Luzern,Ettiswil,Hubelweid A-C und  (L2.52 und L3.22),single find,stray findings (>1),typological,neolithic,,,225203,647137
4203,4464,2281,CH,Luzern,Ettiswil,Hubelweid Sondierungen,single find,stray findings (>1),typological,neolithic,,,225663,647307
4204,4465,2193,CH,Luzern,Ettiswil,Käserei Kottwil,single find,single find,typological,prehistoric,,,224198,645345
4205,4466,2218,CH,Luzern,Ettiswil,Kottwil West (L2.31),single find,stray findings (>1),typological,prehistoric,,,224025,645411
4206,4467,2210,CH,Luzern,Ettiswil,Kühnmoos (L2.149),single find,single find,typological,prehistoric,,,224019,644129
4207,4468,2433,CH,Luzern,Ettiswil,Langmoos,single find,stray findings (>1),typological,prehistoric,,,223617,645091
4208,4469,2250; 2249,CH,Luzern,Ettiswil,Moos Station 14/ Göldimoos (L2.124),single find,stray findings (>1),typological,neolithic,,,225381,645867
4209,4470,2217,CH,Luzern,Ettiswil,Mooshof Nord (L2.88),single find,single find,typological,prehistoric,,,224516,645899
4210,4471,2352,CH,Luzern,Ettiswil,Moosmatt A L.2.58,single find,stray findings (>1),typological,prehistoric,,,226433,645411
4211,4472,2199; 2200,CH,Luzern,Ettiswil,Moosmatt Nord + West (L2.130/131),single find,stray findings (>1),typological,prehistoric,,,223954,645575
